timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,Latency,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1779780545039,0,Debug Sampler,200,OK,Distribute Testing Practice 1-24,text,true,357,0,1,0,,0,0
1779780536507,599,1 - Request,404,,Distribute Testing Practice 1-81,text,false,867,564,1,1,,0,552
1779780545040,1,Debug Sampler,200,OK,Distribute Testing Practice 1-81,text,true,357,0,1,0,,0,0
1779780535398,1712,1 - Request,404,,Distribute Testing Practice 1-53,text,false,867,1672,1,1,,0,1510
1779780535403,1714,1 - Request,404,,Distribute Testing Practice 1-28,text,false,867,1651,1,1,,0,1601
1779780545043,0,Debug Sampler,200,OK,Distribute Testing Practice 1-28,text,true,357,0,1,0,,0,0
1779780535399,1716,1 - Request,404,,Distribute Testing Practice 1-46,text,false,867,1655,1,1,,0,1631
1779780535398,1715,1 - Request,404,,Distribute Testing Practice 1-25,text,false,867,1671,1,1,,0,1645
1779780545046,0,Debug Sampler,200,OK,Distribute Testing Practice 1-25,text,true,357,0,1,0,,0,0
1779780545047,0,Debug Sampler,200,OK,Distribute Testing Practice 1-46,text,true,357,0,1,0,,0,0
1779780535402,1708,1 - Request,404,,Distribute Testing Practice 1-15,text,false,867,1668,1,1,,0,1507
1779780545049,0,Debug Sampler,200,OK,Distribute Testing Practice 1-15,text,true,357,0,1,0,,0,0
1779780535398,1708,1 - Request,404,,Distribute Testing Practice 1-58,text,false,867,1673,1,1,,0,1662
1779780545050,0,Debug Sampler,200,OK,Distribute Testing Practice 1-58,text,true,357,0,1,0,,0,0
1779780537536,38,1 - Request,404,,Distribute Testing Practice 1-92,text,false,867,38,1,1,,0,5
1779780545052,0,Debug Sampler,200,OK,Distribute Testing Practice 1-92,text,true,357,0,1,0,,0,0
1779780535405,1701,1 - Request,404,,Distribute Testing Practice 1-4,text,false,867,1666,1,1,,0,1593
1779780536822,285,1 - Request,404,,Distribute Testing Practice 1-89,text,false,867,249,1,1,,0,1
1779780536787,331,1 - Request,404,,Distribute Testing Practice 1-90,text,false,867,267,1,1,,0,166
1779780535402,1706,1 - Request,404,,Distribute Testing Practice 1-65,text,false,867,1668,1,1,,0,1645
1779780535406,1703,1 - Request,404,,Distribute Testing Practice 1-60,text,false,867,1664,1,1,,0,1639
1779780535398,1715,1 - Request,404,,Distribute Testing Practice 1-34,text,false,867,1671,1,1,,0,1512
1779780545058,0,Debug Sampler,200,OK,Distribute Testing Practice 1-34,text,true,357,0,1,0,,0,0
1779780536970,135,1 - Request,404,,Distribute Testing Practice 1-83,text,false,867,102,1,1,,0,2
1779780535404,1715,1 - Request,404,,Distribute Testing Practice 1-18,text,false,867,1650,1,1,,0,1512
1779780545060,1,Debug Sampler,200,OK,Distribute Testing Practice 1-18,text,true,357,0,1,0,,0,0
1779780535403,1730,1 - Request,404,,Distribute Testing Practice 1-37,text,false,867,1730,1,1,,0,1562
1779780545063,0,Debug Sampler,200,OK,Distribute Testing Practice 1-37,text,true,357,0,1,0,,0,0
1779780537700,20,1 - Request,404,,Distribute Testing Practice 1-86,text,false,867,20,1,1,,0,1
1779780535404,1701,1 - Request,404,,Distribute Testing Practice 1-63,text,false,867,1668,1,1,,0,1581
1779780535405,1712,1 - Request,404,,Distribute Testing Practice 1-49,text,false,867,1649,1,1,,0,1509
1779780545065,0,Debug Sampler,200,OK,Distribute Testing Practice 1-63,text,true,357,0,1,0,,0,0
1779780536975,130,1 - Request,404,,Distribute Testing Practice 1-85,text,false,867,97,1,1,,0,4
1779780545066,1,Debug Sampler,200,OK,Distribute Testing Practice 1-85,text,true,357,0,1,0,,0,0
1779780535397,1724,1 - Request,404,,Distribute Testing Practice 1-30,text,false,867,1661,1,1,,0,1516
1779780545068,0,Debug Sampler,200,OK,Distribute Testing Practice 1-30,text,true,357,0,1,0,,0,0
1779780535396,1711,1 - Request,404,,Distribute Testing Practice 1-68,text,false,867,1675,1,1,,0,1657
1779780535398,1709,1 - Request,404,,Distribute Testing Practice 1-9,text,false,867,1673,1,1,,0,1654
1779780535947,1175,1 - Request,404,,Distribute Testing Practice 1-73,text,false,867,1111,1,1,,0,967
1779780535399,1721,1 - Request,404,,Distribute Testing Practice 1-7,text,false,867,1655,1,1,,0,1618
1779780545072,0,Debug Sampler,200,OK,Distribute Testing Practice 1-7,text,true,356,0,1,0,,0,0
1779780535401,1715,1 - Request,404,,Distribute Testing Practice 1-33,text,false,867,1653,1,1,,0,1627
1779780535402,1702,1 - Request,404,,Distribute Testing Practice 1-3,text,false,867,1670,1,1,,0,1568
1779780545074,1,Debug Sampler,200,OK,Distribute Testing Practice 1-3,text,true,356,0,1,0,,0,0
1779780535403,1718,1 - Request,404,,Distribute Testing Practice 1-1,text,false,867,1651,1,1,,0,1511
1779780535946,1166,1 - Request,404,,Distribute Testing Practice 1-75,text,false,867,1124,1,1,,0,1100
1779780535400,1706,1 - Request,404,,Distribute Testing Practice 1-42,text,false,867,1671,1,1,,0,1658
1779780535400,1719,1 - Request,404,,Distribute Testing Practice 1-26,text,false,867,1654,1,1,,0,1553
1779780545084,0,Debug Sampler,200,OK,Distribute Testing Practice 1-26,text,true,357,0,1,0,,0,0
1779780545078,0,Debug Sampler,200,OK,Distribute Testing Practice 1-42,text,true,357,0,1,0,,0,0
1779780535398,1735,1 - Request,404,,Distribute Testing Practice 1-39,text,false,867,1735,1,1,,0,1558
1779780545086,0,Debug Sampler,200,OK,Distribute Testing Practice 1-39,text,true,356,0,1,0,,0,0
1779780535403,1715,1 - Request,404,,Distribute Testing Practice 1-66,text,false,867,1651,1,1,,0,1610
1779780535401,1717,1 - Request,404,,Distribute Testing Practice 1-31,text,false,867,1653,1,1,,0,1610
1779780535405,1702,1 - Request,404,,Distribute Testing Practice 1-40,text,false,867,1666,1,1,,0,1652
1779780535407,1710,1 - Request,404,,Distribute Testing Practice 1-54,text,false,867,1647,1,1,,0,1508
1779780536789,325,1 - Request,404,,Distribute Testing Practice 1-84,text,false,867,279,1,1,,0,163
1779780535396,1710,1 - Request,404,,Distribute Testing Practice 1-62,text,false,867,1675,1,1,,0,1665
1779780535401,1716,1 - Request,404,,Distribute Testing Practice 1-38,text,false,867,1653,1,1,,0,1607
1779780545092,0,Debug Sampler,200,OK,Distribute Testing Practice 1-38,text,true,357,0,1,0,,0,0
1779780535406,1701,1 - Request,404,,Distribute Testing Practice 1-23,text,false,867,1665,1,1,,0,1647
1779780545093,0,Debug Sampler,200,OK,Distribute Testing Practice 1-23,text,true,356,0,1,0,,0,0
1779780535403,1714,1 - Request,404,,Distribute Testing Practice 1-43,text,false,867,1651,1,1,,0,1615
1779780535402,1716,1 - Request,404,,Distribute Testing Practice 1-5,text,false,867,1652,1,1,,0,1513
1779780535401,1703,1 - Request,404,,Distribute Testing Practice 1-20,text,false,867,1671,1,1,,0,1568
1779780545098,0,Debug Sampler,200,OK,Distribute Testing Practice 1-5,text,true,356,0,1,0,,0,0
1779780545098,0,Debug Sampler,200,OK,Distribute Testing Practice 1-20,text,true,357,0,1,0,,0,0
1779780535944,1170,1 - Request,404,,Distribute Testing Practice 1-72,text,false,867,1125,1,1,,0,848
1779780545099,0,Debug Sampler,200,OK,Distribute Testing Practice 1-72,text,true,357,0,1,0,,0,0
